_id,Date,Forecast,name
65228e1cacef445efe05187b,2023-10-16T00:00:00.000Z,0.06934084,dogecoin
65228e1cacef445efe05187c,2023-10-17T00:00:00.000Z,0.06754941,dogecoin
65228e1cacef445efe05187d,2023-10-18T00:00:00.000Z,0.06729825,dogecoin
65228e1cacef445efe05187e,2023-10-19T00:00:00.000Z,0.06923093,dogecoin
65228e1cacef445efe05187f,2023-10-20T00:00:00.000Z,0.07027434,dogecoin
65228e1cacef445efe051880,2023-10-21T00:00:00.000Z,0.070782095,dogecoin
65228e1cacef445efe051881,2023-10-22T00:00:00.000Z,0.071289234,dogecoin
65228e1cacef445efe051882,2023-10-23T00:00:00.000Z,0.069654025,dogecoin
65228e1cacef445efe051883,2023-10-24T00:00:00.000Z,0.069791324,dogecoin
65228e1cacef445efe051884,2023-10-25T00:00:00.000Z,0.07058049,dogecoin
65228e1cacef445efe051885,2023-10-26T00:00:00.000Z,0.068870276,dogecoin
65228e1cacef445efe051886,2023-10-27T00:00:00.000Z,0.069169894,dogecoin
65228e1cacef445efe051887,2023-10-28T00:00:00.000Z,0.06924812,dogecoin
65228e1cacef445efe051888,2023-10-29T00:00:00.000Z,0.06683736,dogecoin
65228e1cacef445efe051889,2023-10-30T00:00:00.000Z,0.06814628,dogecoin
65228e1cacef445efe05188a,2023-10-31T00:00:00.000Z,0.06719797,dogecoin
65228e1cacef445efe05188b,2023-11-01T00:00:00.000Z,0.06330137,dogecoin
65228e1cacef445efe05188c,2023-11-02T00:00:00.000Z,0.06736995,dogecoin
65228e1cacef445efe05188d,2023-11-03T00:00:00.000Z,0.06681439,dogecoin
65228e1cacef445efe05188e,2023-11-04T00:00:00.000Z,0.06402934,dogecoin
65228e1cacef445efe05188f,2023-11-05T00:00:00.000Z,0.06415829,dogecoin
65228e1cacef445efe051890,2023-11-06T00:00:00.000Z,0.06369425,dogecoin
65228e1cacef445efe051891,2023-11-07T00:00:00.000Z,0.06759831,dogecoin
