id,Security_Code,Security_Id,Security_Name
128,509055,VISAKAIND,VISAKA INDUSTRIES
129,506146,VIVIDHA,VISAGAR POLYTEX
130,531025,VISAGAR,VISAGAR FINANCIAL SERVICES
131,532721,VISASTEEL,VISA STEEL
132,531126,VIRTUALS,VIRTUALSOFT SYSTEMS
133,532372,VIRINCHI,Virinchi 
134,530521,VIRAT,VIRAT INDUSTRIES
135,519457,VIRATCRA,VIRAT CRANE INDUSTRIES
136,530627,VIPULORG,Vipul Organics 
137,511726,VIPUL,VIPUL
138,514302,VIPPYSP,VIPPY SPINPRO
139,507880,VIPIND,VIPINDUSTRIES
140,532613,VIPCLOTHNG,VIP Clothing 
141,530401,VINYOFL,VINYOFLEX
142,524129,VINYLINDIA,VINYL CHEMICALS INDIA
143,517393,VINTRON,VINTRON INFORMATICS
144,531051,VINTAGES,VINTAGE SECURITIES
145,517015,VINDHYATEL,VINDHYA TELELINKS
146,534639,VINAYAKPOL,VINAYAK POLYCON INTERNATIONAL
147,524200,VINATIORGA,VINATI ORGANICS
148,524394,VIMTALABS,VIMTA LABS
149,506196,VIKSHEN,VIKSIT ENGINEERING
150,530477,VIKRAMTH,VIKRAM THERMO INDIA
151,519307,VIKASWSP,VIKAS WSP
152,531518,VIKASPROP,Vikas Proppant Granite 
153,542655,VIKASMCORP,Vikas Multicorp 
154,530961,VIKASECO,Vikas EcoTech 
155,531334,VIKALPS,VIKALP SECURITIES
156,537820,VFL,Viji Finance 
157,530151,VIJAYTX,VIJAY TEXTILES
158,531069,VIJSOLX,VIJAY SOLVEX
159,539659,VIDLI,Vidli Restaurants 
160,531717,VIDHIING,Vidhi Specialty Food Ingredients 
161,511389,VIDEOIND,VIDEOCON INDUSTRIES
162,531234,VICTORYPP,VICTORY PAPER BOARDS INDIA
163,503349,VICTMILL,VICTORIA MILLS
164,523796,VICEROY,VICEROY HOTELS
165,538732,VGCL,Vibrant Global Capital 
166,537524,VIAANINDUS,Viaan Industries 
167,532953,VGUARD,VGUARD INDUSTRIES
168,539331,VETO,Veto Switchgears and Cables 
169,520113,VESUVIUS,VESUVIUS INDIA
170,531950,VERTEX,VERTEX SECURITIES
171,512229,VERITAS,VERITAS INDIA
172,526953,VENUSREM,VENUS REMEDIES
173,516098,VENTURA,VENTURA TEXTILES
174,512060,SHYAM,VENTURA GUARANTY
175,524038,VENLONENT,VENLON ENTERPRISES
176,523261,VENKYS,VENKY39S INDIA
177,505232,VELJAN,Veljan Denison 
178,526755,VELHO,VELAN HOTELS
179,539132,VEGETABLE,Vegetable Products 
180,511523,VEERHEALTH,Veerhealth Care 
181,540252,VSL,Veeram Securities 
182,543241,VGIL,Veer Global Infraconstruction 
183,503657,VEERENRGY,VEER ENERGY INFRASTRUCTURE
184,522267,VJLAXMIE,VEEJAY LAKSHMI ENGINEERING WORKS
185,533056,VEDAVAAG,VEDAVAAG SYSTEMS
186,500295,VEDL,Vedanta 
187,536672,VCU,VCU Data Management 
188,511493,VCKCAP,VCK CAPITAL MARKET SERVICES
189,511110,VBDESAI,VBDESAI FINANCIAL SERVICES
190,513005,VBCFERROQ,VBC FERRO ALLOYS
191,533576,VASWANI,VASWANI INDUSTRIES
192,538634,VRL,Vasundhara Rasayans 
193,533156,VASCONEQ,Vascon Engineers 
194,531574,VASINFRA,VAS INFRASTRUCTURE
195,512511,VARUNME,VARUN MERCANTILE
196,540180,VBL,Varun Beverages 
197,541578,VARROC,Varroc Engineering 
198,540570,VARIMAN,Variman Global Enterprises 
199,502986,VTL,VARDHMAN TEXTILES
200,534392,VSSL,VARDHMAN SPECIAL STEELS
201,514175,VARDMNPOLY,VARDHMAN POLYTEX
202,500439,VHL,VARDHMAN HOLDINGS
203,531444,VARDHMAN,Vardhman Concrete 
204,542931,VARDHANCFL,Vardhan Capital Finance 
205,502589,VAPIPPR,VAPI PAPER MILLS
206,540729,VANTABIO,Vanta Bioscience 
207,538918,VANICOM,Vani Commercials 
208,532090,VANDANA,VANDANA KNITWEAR
209,530369,VAMSHIRU,VAMSHI RUBBER
